,0
ge.globo.com,12709
globoesporte.globo.com,10888
www.sportingnews.com,4094
www.nba.com,4030
thathi.com.br,3438
esporte.band.uol.com.br,2759
www.youtube.com,2508
www.band.uol.com.br,2483
sport.sky.it,2464
g1.globo.com,2168
enebea.global.nba.com,1932
entretenimento.band.uol.com.br,1814
noticias.band.uol.com.br,1312
smart.com.ph,1160
www.instagram.com,1000
filmes.band.uol.com.br,963
www.personare.com.br,930
twitter.com,654
www.sky.it,638
www.facebook.com,560
www.metroworldnews.com.br,546
www.metrojornal.com.br,536
pt.global.nba.com,504
nba.smart.com.ph,456
www.thathi.com.br,446
series.band.uol.com.br,444
www.globo.com,400
bandtv.band.uol.com.br,397
www.adobe.com,382
ca.nba.com,379
ar.nba.com,345
es.nba.com,324
www.ticketsmarter.com,300
www.techtudo.com.br,300
in.nba.com,297
www.band.com.br,279
developers.google.com,270
sportingnewsholdings.com,264
globoplay.globo.com,260
www.mavs.com,260
interativos.globoesporte.globo.com,237
gshow.globo.com,226
www.beinsports.com,220
support.google.com,220
m.facebook.com,216
receitas.globo.com,158
memoriaglobo.globo.com,153
app.globoesporte.globo.com,145
blog.youtube,144
especiais.g1.globo.com,132
tg24.sky.it,132
tvterraviva.band.uol.com.br,129
faq.personare.com.br,128
it.global.nba.com,124
colabore.apps.globo.com,122
www.skysports.com,118
www.linkedin.com,108
canaisglobo.globo.com,104
sportv.globo.com,103
www.globoesporte.com,96
combate.globo.com,96
store.nba.com,94
oglobo.globo.com,92
www.sportsinteraction.com,90
privacidade.globo.com,88
video.sky.it,88
redirectradar.s3-website-us-east-1.amazonaws.com,88
assistenza.sky.it,88
globosatplay.globo.com,86
watch.nba.com,82
nba.sport5.co.il,81
login.globo.com,78
ph.global.nba.com,76
by.tribuna.com,74
ajuda.personare.com.br,72
instagram.com,68
superscudetto.sky.it,66
about.youtube,62
youtube.com,62
in.global.nba.com,61
ca.global.nba.com,61
revistaquem.globo.com,60
www.novamulher.com,60
revistagloborural.globo.com,57
nba.udn.com,54
vitrine.globo.com,53
extra.globo.com,52
ar.global.nba.com,52
es.global.nba.com,52
tv.youtube.com,52
cares.nba.com,51
negocios8.redeglobo.com.br,50
revistapegn.globo.com,48
nbatickets.nba.com,48
www.neymaroficial.com,48
www.neymarjr.com,48
china.nba.com,46
facebook.com,46
bandeirantes.gupy.io,44
china.nba.cn,44
mena-ar.global.nba.com,44
skygo.sky.it,44
ua.tribuna.com,44
www.skygroup.sky,44
apps.smart.com.ph,44
minhaconta.globo.com,42
www.thebal.com,42
receitas.band.uol.com.br,40
www.twitter.com,40
tv.thathi.com.br,40
www.acessibilidade.gov.pt,40
revistamarieclaire.globo.com,38
globoesporte.com,38
olimpiadas.globoesporte.globo.com,38
assine.globo.com,38
tvmanaira.op9.com.br,38
revistacasaejardim.globo.com,37
gatomestre.globoesporte.globo.com,36
revistamonet.globo.com,35
radar.g1.globo.com,35
famosos.globo.com,34
video.globo.com,34
revistacrescer.globo.com,33
revistagalileu.globo.com,33
bal.nba.com,33
revistaautoesporte.globo.com,32
global.nba.com,31
accounts.google.com,30
www.trinhain.com.br,30
centraldeajuda.globo.com,29
ajuda.globo.com,29
vae.g1.globo.com,28
atendimento.globo.com,28
falecomog1.com.br,28
www.plimplim.com.br,28
meuperfil.globo.com,27
www.nbastore.eu,26
play.google.com,26
assinecombate.globo.com,25
snapchat.com,24
vm.tiktok.com,24
www.tiktok.com,24
www.twitch.tv,24
www.microsoft.com,24
www.ultimouomo.com,22
masterchef.sky.it,22
my.smart.com.ph,22
pechinoexpress.sky.it,22
www.italiasgottalent.it,22
xfactor.sky.it,22
shopthearena.com,22
flipboard.com,22
arte.sky.it,22
www.nowtv.it,22
www.receitas.com,22
trova.sky.it,22
static.sky.it,22
www.telecineplay.com.br,22
www.telecine.com.br,22
privacyportal.onetrust.com,22
suncellular.com.ph,22
linkedin.com,22
www.google.com,22
ad.doubleclick.net,22
apiservices.krxd.net,22
basketball.fantasysports.yahoo.com,22
www.fanduel.com,22
www.draftkings.com,22
www.mvprewards.ph,22
meteo.sky.it,22
www.ticketmaster.com,22
valor.globo.com,20
autoesporte.globo.com,20
revistamonet.com.br,20
studio.youtube.com,20
gupy.zendesk.com,20
www.novabrasilfm.com.br,20
novabrasilfm.com.br,20
difusora.thathi.com.br,20
radio79.thathi.com.br,20
trovabar.sky.it,20
tntph.com,20
skymedia.it,20
drive.google.com,20
olist.com,20
valorinveste.globo.com,19
epocanegocios.globo.com,18
radioglobo.globo.com,18
pldthome.com,18
pldtenterprise.com,18
gq.globo.com,17
ajuda.globo,17
jr.nba.com,17
cbn.globoradio.globo.com,17
auctions.nba.com,17
photostore.nba.com,17
revistaglamour.globo.com,17
gleague.nba.com,16
www.wnba.com,16
2kleague.nba.com,16
nbafoundation.nba.com,16
revistaepoca.globo.com,16
coalition.nba.com,16
especiais.combate.globo.com,16
fantastico.globo.com,16
epoca.globo.com,16
anuncie.globo.com,16
band.uol.com.br,16
bandsports.band.uol.com.br,16
globoradio.globo.com,16
comercial.band.uol.com.br,16
www.youtubego.com,16
wa.me,16
api.whatsapp.com,16
terceirotempo.bol.uol.com.br,16
terceirotempo.uol.com.br,16
www.emcasa.com,16
jogue.cartolaexpress.globo.com,15
casavogue.globo.com,14
multishow.globo.com,14
naestradacomquemfaz.g1.globo.com,14
inteligenciafinanceira.g1.globo.com,14
vozdosoceanos.globo.com,14
servicesdirectory.withyoutube.com,14
artists.youtube.com,14
vr.youtube.com,14
socialimpact.youtube.com,14
www.lojanba.com,13
gnt.globo.com,13
grupoglobo.globo.com,12
mx.nba.com,12
www.valor.com.br,12
www.alice.com.br,12
stackoverflow.com,12
www.arena.im,12
arena.im,12
www.bompracredito.com.br,12
www.buser.com.br,12
galena.com,12
www.idwall.co,12
idwall.co,12
www.kovi.com.br,12
www.flash.cn,12
www.orama.com.br,12
www.quintoandar.com.br,12
www.sooper.com.br,12
zippi.com.br,12
www.nytimes.com,12
www.cespe.unb.br,12
gigagloob.globo.com,10
issuetracker.google.com,10
www.alive.app.br,10
alive.app.br,10
www.enjoei.com.br,10
www.hash.com.br,10
www.hashdex.com.br,10
www.ingresse.com,10
www.livup.com.br,10
www.lojadomecanico.com.br,10
www.merama.io,10
www.nomadglobal.com,10
www.p1gg.com.br,10
prozeducacao.com.br,10
www.stone.com.br,10
www.reduza.com.br,10
itunes.apple.com,10
apps.apple.com,10
official.nba.com,9
umsoplaneta.globo.com,9
www.nbastore.ca,9
vogue.globo.com,9
inscricao.band.uol.com.br,9
blogs.oglobo.globo.com,9
forum.techtudo.globo.com,9
premiere.globo.com,9
bhfm.globo.com,9
brasileiros.globo.com,8
careers.nba.com,8
pegntv.globo.com,8
pr.nba.com,8
www.nbastore.in,8
www.grupoglobo.globo.com,8
lockervision.nba.com,8
globoreporter.globo.com,8
ego.globo.com,8
bip.globo.com,8
globoads.globo.com,8
support.watch.nba.com,8
privacy.band.com.br,8
mundogloob.globo.com,8
creativemanager.negocios8.redeglobo.com.br,8
nbastore.com.ph,8
nba.smart,8
historia.globo.com,8
app.link.nba.com,8
gente.globo.com,8
profissionaisdoano.redeglobo.com.br,8
profissionaisdoano.globo,8
nba.com,8
glamour.globo.com,8
stock.adobe.com,8
www.gabriel.com.br,8
blog.adobe.com,8
appmakeover.withgoogle.com,8
developer.android.com,8
www.nbaheadtohead.com,7
www.nbastore.com,6
www.winnin.com,6
www.zannaoficial.com,6
www.sescsp.org.br,6
www.bwid.com.br,6
www.windowsphone.com,6
entretenimento.globo.com,4
etc.globo.com,4
www.publicidadeeditoraglobo.com.br,4
kogut.oglobo.globo.com,4
redeglobo.globo.com,4
globofilmes.globo.com,4
www.vempraglobo.com.br,4
vempraglobo.g.globo,4
globoventures.globo.com,4
canaloff.globo.com,4
conta.globo.com,4
support.apple.com,4
commerce.adobe.com,4
creatoracademy.youtube.com,4
github.com,4
policies.google.com,4
ads.google.com,4
theblog.adobe.com,4
webkit.org,4
developers.facebook.com,4
www.blog.google,4
blogs.windows.com,4
blog.mozilla.org,4
helpx.adobe.com,4
www.npr.org,4
goo.gl,4
www.pf.gov.br,4
forms.band.com.br,1
contact.nba.com,0
